124,63762.35,4210.23,443,401,1.66,59552.12,-340436.02,1732519536994
125,58527.63,4978.70,422,388,1.5,53548.93,-280883.90,1732519552407
126,54689.05,33654.20,365,211,2.73,21034.85,-227334.97,1732519571694
127,62092.23,57481.42,443,160,3.74,4610.81,-206300.12,1732519593333
128,57864.32,0.00,0,0,1,57864.32,-201689.31,1732519604288
129,52842.91,1282.67,411,389,1.39,51560.24,-143824.99,1732519619181
130,66657.36,69910.73,357,169,3.33,-3253.37,-92264.75,1732519639814
131,67646.49,50484.35,416,175,3.03,17162.14,-95518.12,1732519659776
132,52735.73,85708.94,392,46,9.79,-32973.21,-78355.98,1732519689498
133,54651.17,89285.53,386,51,7.04,-34634.36,-111329.19,1732519715985
134,57395.97,50787.14,421,138,3.94,6608.83,-145963.55,1732519737806
135,52270.31,5113.68,387,340,1.62,47156.63,-139354.72,1732519753741
136,44828.44,0.00,0,0,1,44828.44,-92198.09,1732519764495
137,50728.34,68746.23,353,56,6.57,-18017.89,-47369.65,1732519790375
138,56648.11,28579.16,440,227,2.94,28068.95,-65387.54,1732519810142
139,53314.89,89809.91,411,24,11.28,-36495.02,-37318.59,1732519841369
140,51137.72,5722.91,438,386,1.57,45414.81,-73813.61,1732519857088
141,49893.29,423609.50,383,4,33.15,-373716.21,-28398.80,1732519904118
142,51181.13,2317.18,425,410,1.22,48863.95,-402115.01,1732519918027
143,53486.05,3658.83,361,339,1.37,49827.22,-353251.06,1732519932831
144,56541.48,2324.15,348,337,1.12,54217.33,-303423.84,1732519946183
145,49141.47,0.00,0,0,1.1,49141.47,-249206.51,1732519959126
146,48683.64,0.00,0,0,1.09,48683.64,-200065.04,1732519972408
147,80327.91,22692.71,327,283,1.96,57635.20,-151381.40,1732519989552
148,86947.27,8445.92,402,320,1.81,78501.35,-93746.20,1732520005990
149,89803.20,58278.88,407,174,3.13,31524.32,-15244.85,1732520026202
150,90361.46,1934.26,450,429,1.5,88427.20,16279.47,1732520041640
151,84783.74,12655.99,421,316,2.1,72127.75,104706.67,1732520059422
152,96620.11,88758.03,414,99,4.61,7862.08,176834.42,1732520082417
153,103852.13,18222.26,444,377,1.95,85629.87,184696.50,1732520099531
154,97539.95,14174.97,431,374,1.57,83364.98,270326.37,1732520115253
